date,Occurence_in_News,Occurence_in_Google,Occurence_in_Google_normalized
2022-02-03,1,0,0.0
2022-02-04,0,0,0.0
2022-02-05,0,0,0.0
2022-02-06,0,0,0.0
2022-02-07,0,0,0.0
2022-02-08,0,0,0.0
2022-02-09,0,0,0.0
2022-02-10,0,0,0.0
2022-02-11,0,0,0.0
2022-02-12,1,0,0.0
2022-02-13,0,0,
2021-11-07,0,0,0.0
2021-11-08,0,16,0.16
2021-11-09,0,31,0.31
2021-11-10,0,61,0.61
2021-11-11,0,7,0.07
2021-11-12,0,0,0.0
2021-11-13,0,9,0.09
2021-11-14,2,26,0.26
2021-11-15,0,48,0.48
2021-11-16,0,7,0.07
2021-11-17,3,38,0.38
2021-11-18,2,39,0.39
2021-11-19,0,56,0.56
2021-11-20,2,53,0.53
2021-11-21,0,43,0.43
2021-11-22,3,38,0.38
2021-11-23,3,61,0.61
2021-11-24,0,54,0.54
2021-11-25,2,45,0.45
2021-11-26,0,54,0.54
2021-11-27,1,34,0.34
2021-11-28,0,0,0.0
2021-11-29,0,22,0.22
2021-11-30,0,37,0.37
2021-12-01,1,96,0.96
2021-12-02,4,100,1.0
2021-12-03,2,94,0.94
2021-12-04,1,67,0.67
2021-12-05,0,0,0.0
2021-12-06,0,23,0.23
2021-12-07,2,23,0.23
2021-12-08,0,16,0.16
2021-12-09,0,8,0.08
2021-12-10,0,8,0.08
2021-12-11,1,0,0.0
2021-12-12,0,18,0.18
2021-12-13,4,24,0.24
2021-12-14,0,16,0.16
2021-12-15,0,24,0.24
2021-12-16,1,24,0.24
2021-12-17,0,34,0.34
2021-12-18,1,56,0.56
2021-12-19,1,9,0.09
2021-12-20,0,17,0.17
2021-12-21,0,25,0.25
2021-12-22,0,74,0.74
2021-12-23,1,35,0.35
2021-12-24,0,10,0.1
2021-12-25,2,0,0.0
2021-12-26,1,29,0.29
2021-12-27,4,85,0.85
2021-12-28,9,25,0.25
2021-12-29,3,25,0.25
2021-12-30,1,26,0.26
2021-12-31,1,0,0.0
2022-01-01,0,10,0.1
2022-01-02,1,9,0.09
2022-01-03,0,33,0.33
2022-01-04,0,16,0.16
2022-01-05,0,24,0.24
2022-01-06,0,16,0.16
2022-01-07,1,58,0.58
2022-01-08,0,18,0.18
2022-01-09,0,27,0.27
2022-01-10,4,16,0.16
2022-01-11,4,23,0.23
2022-01-12,3,15,0.15
2022-01-13,2,24,0.24
2022-01-14,3,17,0.17
2022-01-15,3,0,0.0
2022-01-16,1,0,0.0
2022-01-17,6,0,0.0
2022-01-18,3,8,0.08
2022-01-19,0,0,0.0
2022-01-20,1,0,0.0
2022-01-21,3,8,0.08
2022-01-22,0,0,0.0
2022-01-23,1,9,0.09
2022-01-24,5,8,0.08
2022-01-25,7,7,0.07
2022-01-26,3,41,0.41
2022-01-27,6,16,0.16
2022-01-28,2,8,0.08
2022-01-29,0,9,0.09
2022-01-30,0,28,0.28
2022-01-31,1,25,0.25
2022-02-01,4,0,0.0
2022-02-02,6,16,0.16
2022-02-03,1,8,0.08
2022-02-04,2,0,0.0
2022-02-05,1,9,0.09
2022-02-06,0,18,0.18
2022-02-07,1,8,0.08
2022-02-08,1,0,0.0
2022-02-09,0,8,0.08
2022-02-10,1,25,0.25
2022-02-11,1,17,0.17
2022-02-12,0,0,0.0
2022-02-13,0,0,
2021-11-07,0,49,0.49
2021-11-08,1,29,0.29
2021-11-09,0,58,0.58
2021-11-10,0,0,0.0
2021-11-11,0,41,0.41
2021-11-12,0,30,0.3
2021-11-13,0,33,0.33
2021-11-14,0,16,0.16
2021-11-15,5,44,0.44
2021-11-16,1,53,0.53
2021-11-17,1,43,0.43
2021-11-18,2,43,0.43
2021-11-19,1,60,0.6
2021-11-20,0,33,0.33
2021-11-21,1,64,0.64
2021-11-22,0,43,0.43
2021-11-23,0,28,0.28
2021-11-24,0,28,0.28
2021-11-25,0,56,0.56
2021-11-26,1,29,0.29
2021-11-27,2,16,0.16
2021-11-28,0,0,0.0
2021-11-29,0,14,0.14
2021-11-30,0,42,0.42
2021-12-01,2,41,0.41
2021-12-02,1,100,1.0
2021-12-03,3,44,0.44
2021-12-04,1,0,0.0
2021-12-05,0,16,0.16
2021-12-06,1,28,0.28
2021-12-07,0,29,0.29
2021-12-08,0,15,0.15
2021-12-09,0,44,0.44
2021-12-10,3,15,0.15
2021-12-11,0,0,0.0
2021-12-12,2,16,0.16
2021-12-13,1,15,0.15
2021-12-14,2,15,0.15
2021-12-15,1,29,0.29
2021-12-16,0,0,0.0
2021-12-17,0,0,0.0
2021-12-18,0,0,0.0
2021-12-19,1,35,0.35
2021-12-20,0,0,0.0
2021-12-21,3,31,0.31
2021-12-22,3,46,0.46
2021-12-23,0,48,0.48
2021-12-24,0,18,0.18
2021-12-25,0,0,0.0
2021-12-26,0,18,0.18
2021-12-27,0,63,0.63
2021-12-28,2,31,0.31
2021-12-29,1,31,0.31
2021-12-30,0,32,0.32
2021-12-31,0,0,0.0
2022-01-01,0,18,0.18
2022-01-02,0,17,0.17
2022-01-03,0,0,0.0
2022-01-04,0,0,0.0
2022-01-05,0,75,0.75
2022-01-06,0,15,0.15
2022-01-07,2,46,0.46
2022-01-08,0,17,0.17
2022-01-09,0,0,0.0
2022-01-10,0,58,0.58
2022-01-11,1,0,0.0
2022-01-12,1,29,0.29
2022-01-13,0,30,0.3
2022-01-14,0,46,0.46
2022-01-15,1,16,0.16
2022-01-16,0,34,0.34
2022-01-17,1,0,0.0
2022-01-18,2,14,0.14
2022-01-19,0,29,0.29
2022-01-20,0,0,0.0
2022-01-21,2,0,0.0
2022-01-22,0,0,0.0
2022-01-23,1,17,0.17
2022-01-24,0,0,0.0
2022-01-25,1,40,0.4
2022-01-26,1,0,0.0
2022-01-27,0,0,0.0
2022-01-28,0,0,0.0
2022-01-29,0,0,0.0
2022-01-30,2,0,0.0
2022-01-31,0,31,0.31
2022-02-01,0,45,0.45
2022-02-02,0,15,0.15
2022-02-03,0,15,0.15
2022-02-04,0,32,0.32
2022-02-05,0,0,0.0
2022-02-06,0,34,0.34
2022-02-07,0,15,0.15
2022-02-08,0,0,0.0
2022-02-09,0,0,0.0
2022-02-10,0,31,0.31
2022-02-11,0,31,0.31
2022-02-12,0,35,0.35
2022-02-13,0,0,
2021-11-07,0,52,0.52
2021-11-08,0,57,0.57
2021-11-09,1,57,0.57
2021-11-10,1,53,0.53
2021-11-11,3,57,0.57
2021-11-12,2,60,0.6
2021-11-13,2,57,0.57
2021-11-14,1,60,0.6
2021-11-15,0,61,0.61
2021-11-16,1,61,0.61
2021-11-17,2,65,0.65
2021-11-18,3,63,0.63
2021-11-19,2,66,0.66
2021-11-20,0,62,0.62
2021-11-21,0,61,0.61
2021-11-22,0,62,0.62
2021-11-23,0,64,0.64
2021-11-24,0,63,0.63
2021-11-25,2,67,0.67
2021-11-26,1,72,0.72
2021-11-27,2,80,0.8
2021-11-28,0,81,0.81
2021-11-29,0,78,0.78
2021-11-30,1,77,0.77
2021-12-01,1,73,0.73
2021-12-02,1,73,0.73
2021-12-03,1,74,0.74
2021-12-04,1,67,0.67
2021-12-05,0,66,0.66
2021-12-06,0,70,0.7
2021-12-07,2,66,0.66
2021-12-08,1,66,0.66
2021-12-09,1,64,0.64
2021-12-10,2,66,0.66
2021-12-11,0,63,0.63
2021-12-12,0,64,0.64
2021-12-13,0,68,0.68
2021-12-14,0,69,0.69
2021-12-15,0,71,0.71
2021-12-16,1,73,0.73
2021-12-17,4,74,0.74
2021-12-18,0,75,0.75
2021-12-19,0,75,0.75
2021-12-20,1,79,0.79
2021-12-21,0,84,0.84
2021-12-22,1,79,0.79
2021-12-23,2,81,0.81
2021-12-24,0,76,0.76
2021-12-25,0,79,0.79
2021-12-26,0,83,0.83
2021-12-27,1,89,0.89
2021-12-28,1,84,0.84
2021-12-29,0,95,0.95
2021-12-30,0,99,0.99
2021-12-31,0,89,0.89
2022-01-01,1,91,0.91
2022-01-02,1,88,0.88
2022-01-03,0,90,0.9
2022-01-04,1,95,0.95
2022-01-05,0,100,1.0
2022-01-06,0,96,0.96
2022-01-07,1,95,0.95
2022-01-08,0,89,0.89
2022-01-09,1,89,0.89
2022-01-10,1,91,0.91
2022-01-11,4,85,0.85
2022-01-12,3,82,0.82
2022-01-13,3,78,0.78
2022-01-14,3,76,0.76
2022-01-15,0,69,0.69
2022-01-16,1,72,0.72
2022-01-17,0,67,0.67
2022-01-18,3,71,0.71
2022-01-19,2,73,0.73
2022-01-20,1,70,0.7
2022-01-21,3,64,0.64
2022-01-22,1,64,0.64
2022-01-23,2,59,0.59
2022-01-24,1,61,0.61
2022-01-25,1,60,0.6
2022-01-26,1,61,0.61
2022-01-27,2,58,0.58
2022-01-28,1,55,0.55
2022-01-29,1,52,0.52
2022-01-30,0,55,0.55
2022-01-31,1,56,0.56
2022-02-01,1,55,0.55
2022-02-02,0,52,0.52
2022-02-03,1,50,0.5
2022-02-04,0,50,0.5
2022-02-05,0,47,0.47
2022-02-06,0,46,0.46
2022-02-07,0,48,0.48
2022-02-08,0,46,0.46
2022-02-09,0,47,0.47
2022-02-10,0,45,0.45
2022-02-11,0,44,0.44
2022-02-12,0,40,0.4
2022-02-13,0,0,
2021-11-07,0,24,0.24
2021-11-08,0,71,0.71
2021-11-09,0,74,0.74
2021-11-10,0,74,0.74
2021-11-11,0,74,0.74
2021-11-12,0,68,0.68
2021-11-13,0,27,0.27
2021-11-14,0,22,0.22
2021-11-15,1,71,0.71
2021-11-16,1,66,0.66
2021-11-17,1,69,0.69
2021-11-18,1,67,0.67
2021-11-19,0,68,0.68
2021-11-20,0,26,0.26
2021-11-21,0,17,0.17
2021-11-22,1,63,0.63
2021-11-23,1,69,0.69
2021-11-24,0,73,0.73
2021-11-25,1,66,0.66
2021-11-26,1,95,0.95
2021-11-27,0,35,0.35
2021-11-28,0,25,0.25
2021-11-29,2,90,0.9
2021-11-30,0,90,0.9
2021-12-01,1,83,0.83
2021-12-02,1,88,0.88
2021-12-03,0,79,0.79
2021-12-04,0,28,0.28
2021-12-05,0,22,0.22
2021-12-06,0,78,0.78
2021-12-07,1,82,0.82
2021-12-08,0,79,0.79
2021-12-09,0,76,0.76
2021-12-10,1,83,0.83
2021-12-11,0,31,0.31
2021-12-12,0,21,0.21
2021-12-13,1,70,0.7
2021-12-14,0,74,0.74
2021-12-15,2,77,0.77
2021-12-16,0,68,0.68
2021-12-17,1,64,0.64
2021-12-18,0,21,0.21
2021-12-19,0,18,0.18
2021-12-20,1,74,0.74
2021-12-21,1,65,0.65
2021-12-22,1,67,0.67
2021-12-23,1,65,0.65
2021-12-24,0,38,0.38
2021-12-25,0,19,0.19
2021-12-26,0,20,0.2
2021-12-27,2,61,0.61
2021-12-28,3,66,0.66
2021-12-29,1,61,0.61
2021-12-30,4,59,0.59
2021-12-31,0,39,0.39
2022-01-01,0,18,0.18
2022-01-02,0,19,0.19
2022-01-03,0,63,0.63
2022-01-04,0,72,0.72
2022-01-05,0,68,0.68
2022-01-06,0,67,0.67
2022-01-07,0,69,0.69
2022-01-08,0,27,0.27
2022-01-09,0,24,0.24
2022-01-10,2,70,0.7
2022-01-11,3,60,0.6
2022-01-12,3,65,0.65
2022-01-13,1,67,0.67
2022-01-14,2,64,0.64
2022-01-15,0,22,0.22
2022-01-16,0,19,0.19
2022-01-17,4,62,0.62
2022-01-18,3,67,0.67
2022-01-19,2,65,0.65
2022-01-20,1,64,0.64
2022-01-21,2,72,0.72
2022-01-22,0,27,0.27
2022-01-23,0,24,0.24
2022-01-24,2,100,1.0
2022-01-25,3,94,0.94
2022-01-26,3,93,0.93
2022-01-27,2,86,0.86
2022-01-28,3,85,0.85
2022-01-29,0,30,0.3
2022-01-30,0,26,0.26
2022-01-31,2,83,0.83
2022-02-01,3,77,0.77
2022-02-02,1,74,0.74
2022-02-03,0,74,0.74
2022-02-04,3,83,0.83
2022-02-05,0,25,0.25
2022-02-06,0,21,0.21
2022-02-07,2,75,0.75
2022-02-08,0,67,0.67
2022-02-09,0,71,0.71
2022-02-10,1,79,0.79
2022-02-11,0,75,0.75
2022-02-12,0,26,0.26
2022-02-13,0,0,
2021-11-07,0,5,0.05
2021-11-08,0,4,0.04
2021-11-09,0,22,0.22
2021-11-10,0,17,0.17
2021-11-11,0,12,0.12
2021-11-12,0,9,0.09
2021-11-13,0,5,0.05
2021-11-14,0,15,0.15
2021-11-15,1,35,0.35
2021-11-16,0,16,0.16
2021-11-17,0,17,0.17
2021-11-18,3,30,0.3
2021-11-19,0,0,0.0
2021-11-20,0,0,0.0
2021-11-21,0,29,0.29
2021-11-22,1,4,0.04
2021-11-23,2,34,0.34
2021-11-24,0,26,0.26
2021-11-25,0,30,0.3
2021-11-26,1,9,0.09
2021-11-27,2,0,0.0
2021-11-28,0,0,0.0
2021-11-29,0,8,0.08
2021-11-30,0,8,0.08
2021-12-01,0,25,0.25
2021-12-02,0,9,0.09
2021-12-03,1,13,0.13
2021-12-04,0,5,0.05
2021-12-05,1,19,0.19
2021-12-06,0,4,0.04
2021-12-07,0,22,0.22
2021-12-08,1,4,0.04
2021-12-09,2,22,0.22
2021-12-10,0,14,0.14
2021-12-11,0,15,0.15
2021-12-12,0,15,0.15
2021-12-13,1,9,0.09
2021-12-14,1,13,0.13
2021-12-15,2,18,0.18
2021-12-16,1,4,0.04
2021-12-17,0,5,0.05
2021-12-18,0,5,0.05
2021-12-19,0,5,0.05
2021-12-20,4,14,0.14
2021-12-21,0,14,0.14
2021-12-22,1,18,0.18
2021-12-23,0,0,0.0
2021-12-24,1,0,0.0
2021-12-25,0,0,0.0
2021-12-26,0,5,0.05
2021-12-27,0,9,0.09
2021-12-28,1,5,0.05
2021-12-29,2,5,0.05
2021-12-30,4,5,0.05
2021-12-31,0,5,0.05
2022-01-01,0,0,0.0
2022-01-02,0,5,0.05
2022-01-03,1,0,0.0
2022-01-04,1,9,0.09
2022-01-05,1,0,0.0
2022-01-06,0,9,0.09
2022-01-07,1,14,0.14
2022-01-08,0,10,0.1
2022-01-09,1,15,0.15
2022-01-10,2,4,0.04
2022-01-11,1,17,0.17
2022-01-12,2,17,0.17
2022-01-13,3,18,0.18
2022-01-14,0,5,0.05
2022-01-15,0,0,0.0
2022-01-16,0,0,0.0
2022-01-17,2,18,0.18
2022-01-18,1,17,0.17
2022-01-19,4,17,0.17
2022-01-20,2,8,0.08
2022-01-21,2,5,0.05
2022-01-22,3,10,0.1
2022-01-23,2,5,0.05
2022-01-24,1,26,0.26
2022-01-25,0,12,0.12
2022-01-26,7,100,1.0
2022-01-27,1,32,0.32
2022-01-28,0,14,0.14
2022-01-29,1,10,0.1
2022-01-30,1,26,0.26
2022-01-31,3,5,0.05
2022-02-01,1,23,0.23
2022-02-02,1,9,0.09
2022-02-03,1,14,0.14
2022-02-04,0,0,0.0
2022-02-05,0,10,0.1
2022-02-06,1,10,0.1
2022-02-07,0,9,0.09
2022-02-08,0,13,0.13
2022-02-09,0,5,0.05
2022-02-10,1,23,0.23
2022-02-11,0,5,0.05
2022-02-12,0,10,0.1
2022-02-13,0,0,
2021-11-07,0,59,0.59
2021-11-08,0,80,0.8
2021-11-09,0,68,0.68
2021-11-10,1,69,0.69
2021-11-11,0,48,0.48
2021-11-12,0,58,0.58
2021-11-13,0,64,0.64
2021-11-14,0,59,0.59
2021-11-15,0,73,0.73
2021-11-16,1,60,0.6
2021-11-17,0,68,0.68
2021-11-18,0,64,0.64
2021-11-19,0,52,0.52
2021-11-20,0,65,0.65
2021-11-21,0,60,0.6
2021-11-22,0,67,0.67
2021-11-23,1,38,0.38
2021-11-24,0,68,0.68
2021-11-25,0,52,0.52
2021-11-26,0,52,0.52
2021-11-27,0,49,0.49
2021-11-28,0,74,0.74
2021-11-29,0,70,0.7
2021-11-30,0,76,0.76
2021-12-01,0,66,0.66
2021-12-02,0,94,0.94
2021-12-03,0,82,0.82
2021-12-04,0,79,0.79
2021-12-05,0,65,0.65
2021-12-06,0,100,1.0
2021-12-07,2,71,0.71
2021-12-08,0,88,0.88
2021-12-09,1,90,0.9
2021-12-10,0,55,0.55
2021-12-11,0,60,0.6
2021-12-12,3,44,0.44
2021-12-13,1,78,0.78
2021-12-14,0,70,0.7
2021-12-15,0,49,0.49
2021-12-16,0,79,0.79
2021-12-17,0,68,0.68
2021-12-18,1,70,0.7
2021-12-19,2,51,0.51
2021-12-20,0,60,0.6
2021-12-21,1,47,0.47
2021-12-22,0,65,0.65
2021-12-23,0,47,0.47
2021-12-24,0,33,0.33
2021-12-25,0,62,0.62
2021-12-26,1,48,0.48
2021-12-27,3,73,0.73
2021-12-28,1,54,0.54
2021-12-29,0,54,0.54
2021-12-30,0,41,0.41
2021-12-31,1,78,0.78
2022-01-01,0,72,0.72
2022-01-02,0,36,0.36
2022-01-03,0,36,0.36
2022-01-04,0,56,0.56
2022-01-05,1,66,0.66
2022-01-06,0,42,0.42
2022-01-07,0,60,0.6
2022-01-08,0,55,0.55
2022-01-09,2,87,0.87
2022-01-10,0,62,0.62
2022-01-11,1,84,0.84
2022-01-12,1,72,0.72
2022-01-13,2,67,0.67
2022-01-14,3,58,0.58
2022-01-15,2,53,0.53
2022-01-16,0,45,0.45
2022-01-17,3,69,0.69
2022-01-18,2,46,0.46
2022-01-19,2,60,0.6
2022-01-20,2,56,0.56
2022-01-21,1,87,0.87
2022-01-22,1,83,0.83
2022-01-23,1,74,0.74
2022-01-24,1,66,0.66
2022-01-25,2,86,0.86
2022-01-26,2,50,0.5
2022-01-27,2,54,0.54
2022-01-28,0,66,0.66
2022-01-29,0,55,0.55
2022-01-30,2,53,0.53
2022-01-31,1,78,0.78
2022-02-01,2,66,0.66
2022-02-02,0,52,0.52
2022-02-03,1,62,0.62
2022-02-04,1,65,0.65
2022-02-05,1,46,0.46
2022-02-06,0,52,0.52
2022-02-07,0,59,0.59
2022-02-08,0,68,0.68
2022-02-09,1,52,0.52
2022-02-10,0,67,0.67
2022-02-11,0,62,0.62
2022-02-12,1,62,0.62
2022-02-13,0,0,
2021-11-07,0,72,0.72
2021-11-08,2,91,0.91
2021-11-09,1,88,0.88
2021-11-10,2,85,0.85
2021-11-11,0,89,0.89
2021-11-12,1,86,0.86
2021-11-13,0,72,0.72
2021-11-14,1,73,0.73
2021-11-15,3,86,0.86
2021-11-16,0,81,0.81
2021-11-17,1,83,0.83
2021-11-18,1,82,0.82
2021-11-19,0,80,0.8
2021-11-20,1,62,0.62
2021-11-21,0,64,0.64
2021-11-22,3,83,0.83
2021-11-23,3,82,0.82
2021-11-24,0,73,0.73
2021-11-25,0,77,0.77
2021-11-26,4,77,0.77
2021-11-27,0,70,0.7
2021-11-28,0,63,0.63
2021-11-29,0,86,0.86
2021-11-30,2,84,0.84
2021-12-01,2,87,0.87
2021-12-02,1,85,0.85
2021-12-03,2,81,0.81
2021-12-04,3,72,0.72
2021-12-05,1,68,0.68
2021-12-06,0,81,0.81
2021-12-07,2,88,0.88
2021-12-08,1,79,0.79
2021-12-09,6,87,0.87
2021-12-10,3,79,0.79
2021-12-11,1,65,0.65
2021-12-12,0,70,0.7
2021-12-13,2,92,0.92
2021-12-14,1,89,0.89
2021-12-15,2,86,0.86
2021-12-16,1,79,0.79
2021-12-17,0,77,0.77
2021-12-18,0,61,0.61
2021-12-19,0,58,0.58
2021-12-20,2,81,0.81
2021-12-21,1,77,0.77
2021-12-22,1,71,0.71
2021-12-23,0,68,0.68
2021-12-24,0,51,0.51
2021-12-25,1,52,0.52
2021-12-26,0,57,0.57
2021-12-27,1,71,0.71
2021-12-28,5,70,0.7
2021-12-29,5,72,0.72
2021-12-30,1,69,0.69
2021-12-31,0,51,0.51
2022-01-01,2,55,0.55
2022-01-02,3,62,0.62
2022-01-03,2,88,0.88
2022-01-04,1,83,0.83
2022-01-05,0,74,0.74
2022-01-06,0,100,1.0
2022-01-07,1,75,0.75
2022-01-08,1,64,0.64
2022-01-09,2,67,0.67
2022-01-10,1,77,0.77
2022-01-11,3,76,0.76
2022-01-12,3,78,0.78
2022-01-13,5,73,0.73
2022-01-14,8,71,0.71
2022-01-15,10,63,0.63
2022-01-16,4,67,0.67
2022-01-17,3,80,0.8
2022-01-18,3,77,0.77
2022-01-19,4,77,0.77
2022-01-20,3,72,0.72
2022-01-21,3,75,0.75
2022-01-22,2,59,0.59
2022-01-23,3,59,0.59
2022-01-24,3,78,0.78
2022-01-25,5,77,0.77
2022-01-26,4,82,0.82
2022-01-27,10,81,0.81
2022-01-28,4,76,0.76
2022-01-29,1,60,0.6
2022-01-30,3,65,0.65
2022-01-31,1,86,0.86
2022-02-01,3,82,0.82
2022-02-02,2,77,0.77
2022-02-03,5,81,0.81
2022-02-04,6,80,0.8
2022-02-05,0,65,0.65
2022-02-06,1,67,0.67
2022-02-07,4,82,0.82
2022-02-08,2,87,0.87
2022-02-09,1,83,0.83
2022-02-10,0,84,0.84
2022-02-11,2,76,0.76
2022-02-12,4,64,0.64
2022-02-13,2,0,
2021-11-07,0,87,0.87
2021-11-08,1,57,0.57
2021-11-09,0,90,0.9
2021-11-10,2,100,1.0
2021-11-11,1,79,0.79
2021-11-12,1,53,0.53
2021-11-13,0,79,0.79
2021-11-14,1,66,0.66
2021-11-15,0,86,0.86
2021-11-16,0,76,0.76
2021-11-17,1,83,0.83
2021-11-18,0,61,0.61
2021-11-19,0,53,0.53
2021-11-20,1,63,0.63
2021-11-21,0,59,0.59
2021-11-22,1,77,0.77
2021-11-23,1,91,0.91
2021-11-24,1,72,0.72
2021-11-25,0,79,0.79
2021-11-26,1,61,0.61
2021-11-27,0,60,0.6
2021-11-28,0,45,0.45
2021-11-29,0,64,0.64
2021-11-30,0,52,0.52
2021-12-01,0,80,0.8
2021-12-02,0,70,0.7
2021-12-03,0,68,0.68
2021-12-04,0,91,0.91
2021-12-05,0,61,0.61
2021-12-06,0,71,0.71
2021-12-07,0,75,0.75
2021-12-08,0,95,0.95
2021-12-09,0,81,0.81
2021-12-10,1,63,0.63
2021-12-11,1,46,0.46
2021-12-12,0,83,0.83
2021-12-13,1,94,0.94
2021-12-14,1,75,0.75
2021-12-15,2,82,0.82
2021-12-16,2,66,0.66
2021-12-17,1,43,0.43
2021-12-18,0,30,0.3
2021-12-19,1,60,0.6
2021-12-20,2,59,0.59
2021-12-21,0,72,0.72
2021-12-22,0,38,0.38
2021-12-23,0,48,0.48
2021-12-24,0,35,0.35
2021-12-25,0,38,0.38
2021-12-26,2,62,0.62
2021-12-27,0,50,0.5
2021-12-28,0,66,0.66
2021-12-29,3,55,0.55
2021-12-30,1,55,0.55
2021-12-31,1,45,0.45
2022-01-01,1,53,0.53
2022-01-02,0,90,0.9
2022-01-03,0,71,0.71
2022-01-04,0,89,0.89
2022-01-05,1,66,0.66
2022-01-06,0,82,0.82
2022-01-07,1,55,0.55
2022-01-08,0,70,0.7
2022-01-09,0,59,0.59
2022-01-10,0,88,0.88
2022-01-11,0,61,0.61
2022-01-12,2,65,0.65
2022-01-13,0,73,0.73
2022-01-14,2,64,0.64
2022-01-15,0,58,0.58
2022-01-16,1,69,0.69
2022-01-17,3,100,1.0
2022-01-18,0,87,0.87
2022-01-19,0,71,0.71
2022-01-20,1,66,0.66
2022-01-21,0,81,0.81
2022-01-22,1,57,0.57
2022-01-23,0,71,0.71
2022-01-24,1,69,0.69
2022-01-25,4,77,0.77
2022-01-26,0,67,0.67
2022-01-27,1,83,0.83
2022-01-28,2,74,0.74
2022-01-29,0,45,0.45
2022-01-30,0,59,0.59
2022-01-31,4,86,0.86
2022-02-01,0,65,0.65
2022-02-02,0,70,0.7
2022-02-03,2,64,0.64
2022-02-04,1,72,0.72
2022-02-05,0,61,0.61
2022-02-06,0,62,0.62
2022-02-07,0,70,0.7
2022-02-08,0,75,0.75
2022-02-09,0,89,0.89
2022-02-10,0,84,0.84
2022-02-11,0,57,0.57
2022-02-12,0,71,0.71
2022-02-13,0,0,
2021-11-07,0,97,0.97
2021-11-08,1,88,0.88
2021-11-09,0,78,0.78
2021-11-10,2,75,0.75
2021-11-11,1,82,0.82
2021-11-12,2,86,0.86
2021-11-13,0,97,0.97
2021-11-14,0,90,0.9
2021-11-15,2,80,0.8
2021-11-16,0,92,0.92
2021-11-17,0,90,0.9
2021-11-18,3,71,0.71
2021-11-19,1,75,0.75
2021-11-20,0,91,0.91
2021-11-21,2,96,0.96
2021-11-22,0,97,0.97
2021-11-23,0,73,0.73
2021-11-24,0,72,0.72
2021-11-25,0,71,0.71
2021-11-26,0,81,0.81
2021-11-27,0,76,0.76
2021-11-28,0,63,0.63
2021-11-29,0,78,0.78
2021-11-30,0,69,0.69
2021-12-01,1,77,0.77
2021-12-02,0,95,0.95
2021-12-03,1,91,0.91
2021-12-04,0,83,0.83
2021-12-05,0,72,0.72
2021-12-06,0,81,0.81
2021-12-07,0,85,0.85
2021-12-08,0,100,1.0
2021-12-09,0,88,0.88
2021-12-10,1,80,0.8
2021-12-11,0,65,0.65
2021-12-12,0,88,0.88
2021-12-13,1,93,0.93
2021-12-14,1,70,0.7
2021-12-15,0,72,0.72
2021-12-16,1,70,0.7
2021-12-17,0,79,0.79
2021-12-18,0,83,0.83
2021-12-19,0,80,0.8
2021-12-20,0,66,0.66
2021-12-21,0,51,0.51
2021-12-22,0,58,0.58
2021-12-23,0,61,0.61
2021-12-24,0,59,0.59
2021-12-25,0,73,0.73
2021-12-26,2,72,0.72
2021-12-27,2,66,0.66
2021-12-28,4,49,0.49
2021-12-29,2,70,0.7
2021-12-30,4,65,0.65
2021-12-31,0,70,0.7
2022-01-01,0,81,0.81
2022-01-02,0,67,0.67
2022-01-03,0,70,0.7
2022-01-04,0,76,0.76
2022-01-05,0,65,0.65
2022-01-06,0,86,0.86
2022-01-07,0,73,0.73
2022-01-08,0,91,0.91
2022-01-09,0,65,0.65
2022-01-10,0,70,0.7
2022-01-11,1,90,0.9
2022-01-12,2,71,0.71
2022-01-13,0,58,0.58
2022-01-14,2,65,0.65
2022-01-15,1,91,0.91
2022-01-16,2,83,0.83
2022-01-17,1,86,0.86
2022-01-18,1,90,0.9
2022-01-19,1,67,0.67
2022-01-20,3,64,0.64
2022-01-21,0,77,0.77
2022-01-22,2,71,0.71
2022-01-23,1,86,0.86
2022-01-24,1,70,0.7
2022-01-25,4,72,0.72
2022-01-26,1,74,0.74
2022-01-27,0,73,0.73
2022-01-28,4,76,0.76
2022-01-29,1,64,0.64
2022-01-30,0,74,0.74
2022-01-31,3,66,0.66
2022-02-01,1,84,0.84
2022-02-02,0,73,0.73
2022-02-03,1,68,0.68
2022-02-04,0,84,0.84
2022-02-05,0,69,0.69
2022-02-06,0,83,0.83
2022-02-07,0,75,0.75
2022-02-08,0,72,0.72
2022-02-09,0,81,0.81
2022-02-10,0,68,0.68
2022-02-11,0,79,0.79
2022-02-12,0,67,0.67
2022-02-13,0,0,
2021-11-07,1,59,0.59
2021-11-08,3,57,0.57
2021-11-09,5,57,0.57
2021-11-10,7,62,0.62
2021-11-11,4,90,0.9
2021-11-12,8,78,0.78
2021-11-13,0,67,0.67
2021-11-14,3,100,1.0
2021-11-15,3,71,0.71
2021-11-16,3,62,0.62
2021-11-17,7,68,0.68
2021-11-18,3,76,0.76
2021-11-19,4,78,0.78
2021-11-20,1,64,0.64
2021-11-21,1,64,0.64
2021-11-22,2,67,0.67
2021-11-23,9,68,0.68
2021-11-24,0,69,0.69
2021-11-25,5,72,0.72
2021-11-26,4,69,0.69
2021-11-27,11,65,0.65
2021-11-28,2,69,0.69
2021-11-29,4,69,0.69
2021-11-30,2,74,0.74
2021-12-01,3,65,0.65
2021-12-02,4,71,0.71
2021-12-03,1,64,0.64
2021-12-04,1,52,0.52
2021-12-05,0,59,0.59
2021-12-06,1,62,0.62
2021-12-07,4,60,0.6
